NAME,Type ,Public ,site,html_title
Malone University,Group,Other,https://en.wikipedia.org/wiki/Malone_University,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Malone_University"">Malone University</a>"
Christian Cooper,Person,BLM & Birding,https://en.wikipedia.org/wiki/Christian_Cooper,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Christian_CooperChristian Cooper"
Racial bias on Wikipedia,Wikipedia Referent,Wikipedia,https://en.wikipedia.org/wiki/Racial_bias_on_Wikipedia,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Racial_bias_on_WikipediaRacial bias on Wikipedia"
Corina Newsome,Person,BLM & Birding,https://en.wikipedia.org/wiki/Corina_Newsome,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Corina_NewsomeCorina Newsome"
Earyn McGee,Person,BLM & Birding,https://en.wikipedia.org/wiki/Earyn_McGee,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Earyn_McGeeEaryn McGee"
Central Park birdwatching incident,Event,BLM,https://en.wikipedia.org/wiki/Central_Park_birdwatching_incident,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Central_Park_birdwatching_incidentCentral Park birdwatching incident"
List of name changes due to the George Floyd protests,Wikipedia Referent,Wikipedia,https://en.wikipedia.org/wiki/List_of_name_changes_due_to_the_George_Floyd_protests,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/List_of_name_changes_due_to_the_George_Floyd_protestsList of name changes due to the George Floyd protests"
2020 in birding and ornithology,Wikipedia Referent,Wikipedia,https://en.wikipedia.org/wiki/2020_in_birding_and_ornithology,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/2020_in_birding_and_ornithology2020 in birding and ornithology"
Bird Names for Birds,Wikipedia Referent,Wikipedia,https://en.wikipedia.org/wiki/Bird_Names_for_Birds,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Bird_Names_for_BirdsBird Names for Birds"
Killing of Ahmaud Arbery,Event,BLM,https://en.wikipedia.org/wiki/Killing_of_Ahmaud_Arbery,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Killing_of_Ahmaud_ArberyKilling of Ahmaud Arbery"
American Bird Conservancy,Group,Birding,https://en.wikipedia.org/wiki/American_Bird_Conservancy,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/American_Bird_ConservancyAmerican Bird Conservancy"
American Birding Association,Group,Birding,https://en.wikipedia.org/wiki/American_Birding_Association,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/American_Birding_AssociationAmerican Birding Association"
Birdwatching,Thing,Birding,https://en.wikipedia.org/wiki/Birdwatching,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/BirdwatchingBirdwatching"
Shooting of Breonna Taylor,Event,BLM,https://en.wikipedia.org/wiki/Shooting_of_Breonna_Taylor,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Shooting_of_Breonna_TaylorShooting of Breonna Taylor"
Forbes,Thing,Media,https://en.wikipedia.org/wiki/Forbes,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/ForbesForbes"
George Floyd,Person,BLM,https://en.wikipedia.org/wiki/George_Floyd,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/George_FloydGeorge Floyd"
Hashtag,Thing,Media,https://en.wikipedia.org/wiki/Hashtag,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/HashtagHashtag"
Instagram,Thing,Media,https://en.wikipedia.org/wiki/Instagram,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/InstagramInstagram"
NPR,Thing,Media,https://en.wikipedia.org/wiki/NPR,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/NPRNPR"
National Audubon Society,Group,Birding,https://en.wikipedia.org/wiki/National_Audubon_Society,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/National_Audubon_SocietyNational Audubon Society"
National Geographic,Thing,Science,https://en.wikipedia.org/wiki/National_Geographic,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/National_GeographicNational Geographic"
National Wildlife Federation,Group,Science,https://en.wikipedia.org/wiki/National_Wildlife_Federation,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/National_Wildlife_FederationNational Wildlife Federation"
National Wildlife Refuge,Group,Science,https://en.wikipedia.org/wiki/National_Wildlife_Refuge,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/National_Wildlife_RefugeNational Wildlife Refuge"
Police brutality in the United States,Thing,BLM,https://en.wikipedia.org/wiki/Police_brutality_in_the_United_States,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Police_brutality_in_the_United_StatesPolice brutality in the United States"
Scientific journal,Thing,Science,https://en.wikipedia.org/wiki/Scientific_journal,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Scientific_journalScientific journal"
Science Publishing Group,Group,Science,https://en.wikipedia.org/wiki/Science_Publishing_Group,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Science_Publishing_GroupScience Publishing Group"
Sierra Club,Group,Science,https://en.wikipedia.org/wiki/Sierra_Club,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Sierra_ClubSierra Club"
The Guardian,Thing,Media,https://en.wikipedia.org/wiki/The_Guardian,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/The_GuardianThe Guardian"
Scientific American,Thing,Science,https://en.wikipedia.org/wiki/Scientific_American,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Scientific_AmericanScientific American"
Twitter,Thing,Media,https://en.wikipedia.org/wiki/Twitter,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/TwitterTwitter"
Breonna Taylor,Person,BLM,https://en.wikipedia.org/wiki/Breonna_Taylor,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Breonna_TaylorBreonna Taylor"
Science journal,Thing,Science,https://en.wikipedia.org/wiki/Science_journal,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Science_journalScience journal"
CNN,Thing,Media,https://en.wikipedia.org/wiki/CNN,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/CNNCNN"
Audubon magazine,Thing,Birding,https://en.wikipedia.org/wiki/Audubon_magazine,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Audubon_magazineAudubon magazine"
National Park Service,Group,Science,https://en.wikipedia.org/wiki/National_Park_Service,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/National_Park_ServiceNational Park Service"
California Coastal Commission,Group,Science,https://en.wikipedia.org/wiki/California_Coastal_Commission,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/California_Coastal_CommissionCalifornia Coastal Commission"
Black Birders Week,Event,BLM & Birding,https://en.wikipedia.org/wiki/Black_Birders_Week,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Black_Birders_WeekBlack Birders Week"
Ahmaud Arbery,Person,BLM,https://en.wikipedia.org/wiki/Ahmaud_Arbery,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Ahmaud_ArberyAhmaud Arbery"
Anna Gifty OpokuAgyeman,Person,BLM & Birding,https://en.wikipedia.org/wiki/Anna_Gifty_OpokuAgyeman,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Anna_Gifty_OpokuAgyemanAnna Gifty OpokuAgyeman"
Backpacker magazine,Thing,Birding,https://en.wikipedia.org/wiki/Backpacker_magazine,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Backpacker_magazineBackpacker magazine"
Bird Watching magazine,Thing,Birding,https://en.wikipedia.org/wiki/Bird_Watching_magazine,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Bird_Watching_magazineBird Watching magazine"
Birders,Group,Birding,https://en.wikipedia.org/wiki/Birders,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/BirdersBirders"
Birds of North America TV series,Thing,Birding,https://en.wikipedia.org/wiki/Birds_of_North_America_TV_series,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Birds_of_North_America_TV_seriesBirds of North America TV series"
Ecological Society of America,Group,Science,https://en.wikipedia.org/wiki/Ecological_Society_of_America,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Ecological_Society_of_AmericaEcological Society of America"
J Drew Lanham,Person,Birding,https://en.wikipedia.org/wiki/J_Drew_Lanham,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/J_Drew_LanhamJ Drew Lanham"
Jason Ward naturalist,Person,Birding,https://en.wikipedia.org/wiki/Jason_Ward_(naturalist),"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Jason_Ward_(naturalist)Jason Ward naturalist"
Naturalists,Group,Science,https://en.wikipedia.org/wiki/Naturalists,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/NaturalistsNaturalists"
North American Association for Environmental Education,Group,Science,https://en.wikipedia.org/wiki/North_American_Association_for_Environmental_Education,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/North_American_Association_for_Environmental_EducationNorth American Association for Environmental Education"
Orion magazine,Thing,Science,https://en.wikipedia.org/wiki/Orion_magazine,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Orion_magazineOrion magazine"
"Science, technology, engineering, and mathematics",Thing,Science,"https://en.wikipedia.org/wiki/Science,_technology,_engineering,_and_mathematics","<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Science,_technology,_engineering,_and_mathematicsScience, technology, engineering, and mathematics"
Smithsonian magazine,Thing,Science,https://en.wikipedia.org/wiki/Smithsonian_magazine,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Smithsonian_magazineSmithsonian magazine"
Wikipedia talkNotability academicsArchive 12,Wikipedia Referent,Wikipedia,NA,
Wikipedia talkCategories for discussionLog2020 June 7,Wikipedia Referent,Wikipedia,NA,
TemplateDid you know nominationsBlack Birders Week,Wikipedia Referent,Wikipedia,NA,
Thickbilled longspur,Thing,Birding,https://en.wikipedia.org/wiki/Thickbilled_longspur,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Thickbilled_longspurThickbilled longspur"
Timeline of African American history,Wikipedia Referent,BLM,https://en.wikipedia.org/wiki/Timeline_of_African_American_history,"<a target=""_blank"" href =""https://en.wikipedia.org/wiki/Timeline_of_African_American_historyTimeline of African American history"